Категорія в Google таблиці (P&L),Категорії з PMS (віднесено),,Коментар / на перевірку
Переменные расходы,Переменные расходы,,
,"Алкоголь (Собівартість), Продукти (Собівартість)",,
Оплата прачки,Прання,,
ЗП Админ,Адміністратор,,
ЗП Уборка,Прибиральниця,,
ЗП Завхоз,Завхоз,,
Трафик,Маркетинг Трафік,,
Маркетолог,Маркетинг → Маркетинг Зарплата,,
Платформы бронирования,Маркетинг → Маркетинг Комісія AirBnb/Booking,,
Прочие расходы на рекламу/фото/бренд,Маркетинг Послуги сторонні; Маркетинг Сервіси для просування,,
Постоянные расходы,Постоянные расходы,,
Аренда ,Оренда,,
Электрика,Комунальні → Електрика,,
Вода,Комунальні → Водаква,,
Мусор,Комунальні → Сміття,,
Страховка,Страхування,,
Банковские услуги,Банківські комісії KB,,
Приложения и сервисы,"Веб сервіси, Звязок, Застосунки",,
Прочие,"Інші витрати, Списання; Компенсація, Нерозподілено",,
Store-level EBITDA,Store-level EBITDA,,
Управляющая компания(финансист и др),Зарплати → Фінансист Наташа,,
"Professional services (Consulting, audit, Lawyer, Photographer)",Профпослуги,,
,,,
Налоги,Податки,,
Инвест доход,,,
Материалы на строительство и ремонты,Будівництво → матеріали,,
Инфраструктура и покупки товаров,"Будівництво → Щось для території чи ресторану і тп, Будівництво → Комплектація будинків",,
Инструмент,Будівництво → Інструмент/техніка,,
ЗП (капітальні зарплати),Зарплати → Будівництво;,,
