Date,Store name,Payment context,Device ID,Status,Payment type,Sales,Teya fee,Teya fee classifier,Interchange fee,Scheme fee,MOTO fee,Fixed fee,Chargeback fee,Total fees,Pay by Link Email,Pay by Link Phone,Settlement status
2026-05-31,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1000,9.5,,2,3.42,,,,14.92,,,
2026-05-31,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,20084,110.46,,40.17,48.2,,,,198.83,,,
2026-05-30,Camping KEMP CARLSBAD,SOFT_POS,JT3PXeoQ,SUCCEEDED,PAYMENT,770,7.32,,1.54,2.63,,,,11.49,,,
2026-05-30,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,2118,11.65,,4.24,5.08,,,,20.97,,,
2026-05-30,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,520,2.86,,1.04,1.25,,,,5.15,,,
2026-05-30,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,800,7.6,,2.58,2.74,,,,12.92,,,
2026-05-30,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,1,,,,2.88,,,
2026-05-30,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,1230,11.69,,3.69,4.21,,,,19.59,,,
2026-05-29,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,REVERSED,PAYMENT,882,,,,,,,,,,,
2026-05-29,Camping KEMP CARLSBAD,SOFT_POS,JT3PXeoQ,SUCCEEDED,PAYMENT,770,7.32,,1.54,2.63,,,,11.49,,,
2026-05-29,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,1,,,,2.88,,,
2026-05-29,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,765,7.27,,2.3,2.62,,,,12.19,,,
2026-05-28,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,800,7.6,,1.6,2.74,,,,11.94,,,
2026-05-27,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,720,6.84,,2.16,2.46,,,,11.46,,,
2026-05-27,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,7229,39.76,,108.44,28.92,,,,177.12,,,
2026-05-26,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,45,0.25,,0.09,0.11,,,,0.45,,,
2026-05-26,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,45,0.25,,0.09,0.11,,,,0.45,,,
2026-05-26,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,1540,14.63,,3.08,5.27,,,,22.98,,,
2026-05-26,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,600,5.7,,1.2,2.05,,,,8.95,,,
2026-05-25,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,650,3.58,,1.4,1.56,,,,6.54,,,
2026-05-25,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,360,3.42,,0.77,1.23,,,,5.42,,,
2026-05-25,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,4221,23.22,,8.44,16.88,,,,48.54,,,
2026-05-24,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,720,6.84,,2.16,2.46,,,,11.46,,,
2026-05-24,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,2680,25.46,,5.36,9.17,,,,39.99,,,
2026-05-24,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,246,2.34,,0.79,0.84,,,,3.97,,,
2026-05-24,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,180,0.99,,0.36,0.43,,,,1.78,,,
2026-05-24,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,300,1.65,,0.9,1.2,,,,3.75,,,
2026-05-24,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,750,4.13,,1.5,1.8,,,,7.43,,,
2026-05-24,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,1200,6.6,,3.6,2.88,,,,13.08,,,
2026-05-24,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,1500,8.25,,3,3.6,,,,14.85,,,
2026-05-23,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,300,1.65,,0.6,0.72,,,,2.97,,,
2026-05-23,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,335,1.84,,0.67,0.8,,,,3.31,,,
2026-05-23,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,280,1.54,,0.56,0.67,,,,2.77,,,
2026-05-23,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,700,6.65,,1.4,2.39,,,,10.44,,,
2026-05-23,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,200,1.9,,0.4,0.68,,,,2.98,,,
2026-05-23,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,4020,38.19,,8.63,13.75,,,,60.57,,,
2026-05-23,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,1806,17.16,,3.61,6.18,,,,26.95,,,
2026-05-23,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,100,0.55,,0.2,0.24,,,,0.99,,,
2026-05-23,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,3861,21.24,,57.92,15.44,,,,94.6,,,
2026-05-22,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,90,0.5,,0.18,0.22,,,,0.9,,,
2026-05-22,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,1600,15.2,,3.2,5.47,,,,23.87,,,
2026-05-22,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,900,8.55,,1.8,3.08,,,,13.43,,,
2026-05-22,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,670,6.37,,1.34,2.29,,,,10,,,
2026-05-22,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,1300,12.35,,2.6,4.45,,,,19.4,,,
2026-05-22,Camping KEMP CARLSBAD,SOFT_POS,fhMhuklI,SUCCEEDED,PAYMENT,825,7.84,,1.65,2.82,,,,12.31,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-21,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,330,3.14,,0.99,1.13,,,,5.26,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,REVERSED,PAYMENT,1,,,,,,,,,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-21,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,22.22,,,,,,,,,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,2,,,,5.75,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-21,https://qa-glamping.eu/,ECOM,x1qqI2yV,REVERSED,PAYMENT,1,,,,,,,,,,,
2026-05-21,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,495,4.7,,1.49,1.69,,,,7.88,,,
2026-05-21,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,774,7.35,,11.61,2.65,,,,21.61,,,
2026-05-20,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-20,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1540,14.63,,3.31,5.27,,,,23.21,,,
2026-05-20,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,1,,,,2.88,,,
2026-05-19,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-19,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-19,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1,0.13,,0.05,0.1,,,,0.28,,,
2026-05-19,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,100,0.95,,0.2,0.34,,,,1.49,,,
2026-05-19,https://qa-glamping.eu/,DIGITAL,x1qqI2yV,SUCCEEDED,REFUND,5,,,,,,,,,,,
2026-05-18,https://qa-glamping.eu/,ECOM,x1qqI2yV,REVERSED,PAYMENT,1,,,,,,,,,,,
2026-05-18,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,5,0.03,,0.01,0.02,,,,0.06,,,
2026-05-16,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,3772,20.75,,7.54,15.09,,,,43.38,,,
2026-05-16,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,833,4.58,,1.67,2,,,,8.25,,,
2026-05-15,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1090,10.36,,2.18,3.73,,,,16.27,,,
2026-05-15,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,2178,20.69,,4.36,7.45,,,,32.5,,,
2026-05-15,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,770,4.24,,2.31,1.62,,,,8.17,,,
2026-05-15,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,1.05,,,,4.8,,,
2026-05-15,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-15,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,905,8.6,,2.72,3.1,,,,14.42,,,
2026-05-15,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-14,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,750,4.13,,1.5,1.58,,,,7.21,,,
2026-05-14,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-05-14,https://qa-glamping.eu/,ECOM,x1qqI2yV,FAILED,PAYMENT,250,,,,,,,,,,,
2026-05-14,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,3200,17.6,,6.4,6.72,,,,30.72,,,
2026-05-13,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-12,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-05-12,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,2310,21.95,,4.62,7.9,,,,34.47,,,
2026-05-12,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,3450,18.98,,6.9,7.25,,,,33.13,,,
2026-05-11,https://kemp-carlsbad.cz/,PAY_BY_LINK,giBb4kEM,SUCCEEDED,PAYMENT,450,2.48,,0.9,0.95,,,,4.33,,,
2026-05-10,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-05-10,https://qa-glamping.eu/,DIGITAL,x1qqI2yV,FAILED,REFUND,620,,,,,,,,,,,
2026-05-09,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,550,5.23,,1.1,1.88,,,,8.21,,,
2026-05-08,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,750,4.13,,2.25,1.58,,,,7.96,,,
2026-05-08,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,6693,36.81,,20.08,14.06,,,,70.95,,,
2026-05-08,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,1.05,,,,4.8,,,
2026-05-08,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,486,2.67,,7.29,1.02,,,,10.98,,,
2026-05-08,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1540,14.63,,3.08,5.27,,,,22.98,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,15038,82.71,,30.08,31.58,,,,144.37,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,FAILED,PAYMENT,15038,,,,,,,,,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,550,3.03,,1.1,1.16,,,,5.29,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-07,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,2310,21.95,,4.62,7.9,,,,34.47,,,
2026-05-07,https://qa-glamping.eu/,PAY_BY_LINK,,PENDING,PAYMENT,3550,,,,,,,,,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,800,4.4,,1.6,1.68,,,,7.68,,,
2026-05-07,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-05-04,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,60,0.33,,0.12,0.14,,,,0.59,,,
2026-05-04,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,SUCCEEDED,REFUND,14400,,,,,,,,,,,
2026-05-03,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,500,4.75,,1.5,1.71,,,,7.96,,,
2026-05-03,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,1323,,,,,,,,,,,
2026-05-03,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,15220,83.71,,45.66,36.53,,,,165.9,,,
2026-05-03,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,2989,,,,,,,,,,,
2026-05-02,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,120,0.66,,0.36,0.29,,,,1.31,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,200,1.9,,0.6,0.68,,,,3.18,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,350,3.33,,0.7,1.2,,,,5.23,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,400,3.8,,0.8,1.37,,,,5.97,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,550,5.23,,1.1,1.88,,,,8.21,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,550,5.23,,1.1,1.88,,,,8.21,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1300,12.35,,2.6,4.45,,,,19.4,,,
2026-05-02,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,350,3.33,,0.7,1.2,,,,5.23,,,
2026-05-02,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-05-02,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,1.05,,,,4.8,,,
2026-05-01,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-05-01,https://qa-glamping.eu/,DIGITAL,x1qqI2yV,SUCCEEDED,REFUND,620,,,,,,,,,,,
2026-05-01,https://qa-glamping.eu/,DIGITAL,x1qqI2yV,SUCCEEDED,REFUND,1200,,,,,,,,,,,
2026-05-01,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1.5,1.05,,,,5.3,,,
2026-05-01,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,2260,,,,,,,,,,,
2026-05-01,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,2210,21,,4.42,7.56,,,,32.98,,,
2026-05-01,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,150,0.83,,0.3,0.36,,,,1.49,,,
2026-05-01,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,150,0.83,,0.45,0.36,,,,1.64,,,
2026-05-01,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,800,7.6,,1.6,2.74,,,,11.94,,,
2026-05-01,Restaurace KEMP CARLSBAD,TERMINAL,rJ7yQU7k,SUCCEEDED,PAYMENT,300,1.65,,0.6,0.72,,,,2.97,,,
2026-05-01,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,2300,21.85,,4.6,7.87,,,,34.32,,,
2026-05-01,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1764,16.76,,5.29,6.03,,,,28.08,,,
2026-05-01,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1.5,1.05,,,,5.3,,,
2026-05-01,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,770,7.32,,1.54,2.63,,,,11.49,,,
2026-05-01,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1640,15.58,,3.28,5.61,,,,24.47,,,
2026-05-01,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-04-30,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,550,3.03,,1.1,1.16,,,,5.29,,,
2026-04-30,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,500,4.75,,1,1.71,,,,7.46,,,
2026-04-30,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,1470,13.97,,2.94,5.03,,,,21.94,,,
2026-04-30,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,770,7.32,,1.54,2.63,,,,11.49,,,
2026-04-28,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-04-27,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,825,7.84,,2.66,2.82,,,,13.32,,,
2026-04-25,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,675,6.41,,1.45,2.31,,,,10.17,,,
2026-04-25,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,620,5.89,,2,2.12,,,,10.01,,,
2026-04-25,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-04-24,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-04-24,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,770,7.32,,1.54,2.63,,,,11.49,,,
2026-04-24,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-04-23,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,1440,13.68,,4.32,4.92,,,,22.92,,,
2026-04-23,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1200,6.6,,2.4,2.52,,,,11.52,,,
2026-04-23,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-04-22,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,1200,6.6,,2.4,2.52,,,,11.52,,,
2026-04-22,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,1.05,,,,4.8,,,
2026-04-22,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,250,1.38,,0.5,0.53,,,,2.41,,,
2026-04-22,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,3822,36.31,,7.64,13.07,,,,57.02,,,
2026-04-21,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,924,8.78,,1.85,3.16,,,,13.79,,,
2026-04-21,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,588,5.59,,1.18,2.01,,,,8.78,,,
2026-04-21,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-04-21,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,804,,,,,,,,,,,
2026-04-21,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-04-21,Camping KEMP CARLSBAD,DIGITAL,Od84Ep1f,FAILED,REFUND,14400,,,,,,,,,,,
2026-04-20,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,500,2.75,,1,1.05,,,,4.8,,,
2026-04-20,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,760,7.22,,1.52,2.6,,,,11.34,,,
2026-04-19,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,5840,55.48,,11.68,19.97,,,,87.13,,,
2026-04-18,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-04-18,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.24,1.3,,,,5.95,,,
2026-04-16,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,620,3.41,,1.86,1.3,,,,6.57,,,
2026-04-16,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,693,6.58,,2.08,2.37,,,,11.03,,,
